cod_cliente,nome,apelido,numero_telefone
0,ANONIMO,ANONIMO,NULL
1,Chico,Sager,507-772-8163
2,Turner,Meadowcraft,859-303-9488
3,Constantia,Tarburn,636-236-1756
4,Wendye,Beurich,684-419-3641
5,Steffane,Harrower,955-473-0095
6,Ludvig,Elecum,697-343-1250
7,Booth,Sucre,717-186-1290
8,Deeyn,Leuchars,104-806-4458
9,Charis,Folkes,252-445-6370
10,Katti,Penquet,806-401-9344
11,Ronna,Tomblings,476-130-3358
12,Rob,Hatje,456-412-4317
13,Bard,Lavers,865-438-2903
14,Blanch,Gresswood,652-579-1408
15,Tomas,Carah,978-431-4357
16,Artemas,Challen,947-734-1048
17,Normy,Seagrove,492-446-9399
18,Daffi,Clymer,586-261-9766
19,Jaymie,Bloom,340-729-7724
20,Beau,McEvoy,845-807-6345
21,Hewitt,Klosterman,330-645-6717
22,Elonore,Klessmann,607-782-5027
23,Nanette,Andriesse,589-416-2873
24,Eirena,Loch,839-586-8341
25,Michelle,Mottini,955-293-9566
26,Cherianne,"Mc Grath",130-926-9175
27,Quentin,Broz,183-112-1280
28,Tymon,Cantillion,175-149-1553
29,Karlis,Crickmer,238-288-5752
30,Rosamond,Kaas,572-153-2660
31,Gene,Cluney,671-937-2678
32,Maribel,Maypole,546-255-5982
33,Sandye,Cullagh,317-202-5163
34,Teddy,Rounding,413-181-6867
35,Moss,Sweedy,496-711-6028
36,Gunter,Gabler,836-399-6284
37,Antonie,Lightbourne,872-330-7810
38,Melesa,Carratt,987-464-8378
39,Mari,Founds,209-140-4968
40,Morse,Fairholme,320-894-3130
41,Ivor,Dallywater,236-629-2249
42,Cicily,Monelle,391-461-8532
43,Yancey,Elcocks,310-269-8115
44,Lay,Hallifax,537-444-0143
45,Agustin,Aggiss,387-137-7780
46,Isa,Sambrok,864-791-9752
47,Carlyle,Limon,755-830-5935
48,Cecilius,Stife,588-385-3471
49,Freeman,McBayne,197-516-3761
50,Brinn,Debold,124-661-8127
51,Arluene,Pickance,346-430-4787
52,Cornelle,Bottlestone,996-436-4501
53,Luise,Alenshev,658-310-0523
54,Letizia,Denial,873-745-5371
55,Harriett,Coch,547-440-9779
56,Tabina,MacCome,750-805-1981
57,Kalinda,Charrett,448-578-5823
58,Ambrose,Tumbelty,382-785-9969
59,Iggy,Reddlesden,860-530-8874
60,Thorpe,Triggs,395-310-4337
61,Odelle,Wailes,239-780-8471
62,Marja,Logie,911-792-1653
63,Faulkner,Pennells,596-963-3243
64,Rory,Buttrey,760-430-2253
65,Evvie,Orts,736-840-8855
66,Esra,Rubra,396-554-6444
67,Karel,Hambidge,978-896-2457
68,Luisa,Banes,258-176-3904
69,Carce,Whatson,132-696-0357
70,Fransisco,Pirkis,526-686-2247
71,Danyette,Delph,843-256-8124
72,Maia,Abadam,868-138-9275
73,Nancey,Moehler,635-940-0947
74,Chrysler,Ransley,412-717-2700
75,Letty,Nevet,535-993-5478
76,Rafaela,Newstead,475-750-7388
77,Harwell,Cranch,562-421-0185
78,Kirbie,Brighty,345-579-6580
79,Rusty,Dorrell,593-393-2041
80,Manda,Andriuzzi,843-992-7163
81,Maisey,Aspall,922-954-7473
82,Thatch,Ludlamme,625-510-7847
83,Jens,Hospital,343-612-1985
84,Olly,McAreavey,915-300-4626
85,Fabe,Godden,128-597-0063
86,Winfred,Lowther,133-228-1291
87,Carrol,Kensy,882-817-0405
88,Shem,Jacobs,823-937-8950
89,Alexis,Braysher,156-738-1901
90,Alexandrina,Oxborough,677-297-2333
91,Sydelle,Whytock,924-249-7803
92,Faydra,Dary,479-929-9183
93,Emilio,McCuffie,213-302-2965
94,Daphene,Hercules,116-158-2428
95,Merle,Jacmar,284-426-1542
96,Van,Villaret,807-575-8218
97,Emelyne,Killiner,471-734-9060
98,Raoul,Mendenhall,526-681-6450
99,Barclay,Johansen,642-554-1197
100,Valaria,Dunwoody,616-309-2676
